ncessch,school_name,school_year,year_start,enrollment,is_interpolated,include
090192000357,Burns Latino Studies Academy,2007-08,2007,533.0,False,True
090192000357,Burns Latino Studies Academy,2008-09,2008,534.0,False,True
090192000357,Burns Latino Studies Academy,2009-10,2009,584.0,False,True
090192000357,Burns Latino Studies Academy,2010-11,2010,666.0,False,True
090192000357,Burns Latino Studies Academy,2011-12,2011,598.0,False,True
090192000357,Burns Latino Studies Academy,2012-13,2012,598.0,False,True
090192000357,Burns Latino Studies Academy,2013-14,2013,541.0,False,True
090192000357,Burns Latino Studies Academy,2014-15,2014,581.0,False,True
090192000357,Burns Latino Studies Academy,2015-16,2015,520.0,False,True
090192000357,Burns Latino Studies Academy,2016-17,2016,496.0,False,True
090192000357,Burns Latino Studies Academy,2017-18,2017,439.0,False,True
090192000357,Burns Latino Studies Academy,2018-19,2018,467.0,False,True
090192000357,Burns Latino Studies Academy,2019-20,2019,272.0,False,True
090192000357,Burns Latino Studies Academy,2020-21,2020,241.0,False,True
090192000357,Burns Latino Studies Academy,2021-22,2021,232.0,False,True
090192000357,Burns Latino Studies Academy,2022-23,2022,224.0,False,True
090192000357,Burns Latino Studies Academy,2023-24,2023,228.0,False,True
090192000357,Burns Latino Studies Academy,2024-25,2024,251.0,False,True
090192000358,Burr Middle School,1986-87,1986,565.0,False,True
090192000358,Burr Middle School,1987-88,1987,577.0,False,True
090192000358,Burr Middle School,1988-89,1988,564.0,False,True
090192000358,Burr Middle School,1989-90,1989,591.0,False,True
090192000358,Burr Middle School,1990-91,1990,586.0,False,True
090192000358,Burr Middle School,1991-92,1991,652.0,False,True
090192000358,Burr Middle School,1992-93,1992,700.0,False,True
090192000358,Burr Middle School,1993-94,1993,701.0,False,True
090192000358,Burr Middle School,1994-95,1994,622.0,False,True
090192000358,Burr Middle School,1995-96,1995,630.0,False,True
090192000358,Burr Middle School,1996-97,1996,611.0,False,True
090192000358,Burr Middle School,1997-98,1997,639.0,False,True
090192000358,Burr Middle School,1998-99,1998,657.0,False,True
090192000358,Burr Middle School,1999-00,1999,745.0,False,True
090192000358,Burr Middle School,2000-01,2000,692.0,False,True
090192000358,Burr Middle School,2001-02,2001,729.0,False,True
090192000358,Burr Middle School,2002-03,2002,549.0,False,True
090192000358,Burr Middle School,2003-04,2003,511.0,False,True
090192000358,Burr Middle School,2004-05,2004,460.0,False,True
090192000358,Burr Middle School,2005-06,2005,475.0,False,True
090192000358,Burr Middle School,2006-07,2006,513.0,False,True
090192000358,Burr Middle School,2007-08,2007,537.0,False,True
