ncessch,school_name,school_year,year_start,enrollment,is_interpolated
090192000360,Dwight-Bellizzi Dual Language Academy,2001-02,2001,531.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2002-03,2002,562.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2003-04,2003,545.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2004-05,2004,520.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2005-06,2005,577.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2006-07,2006,429.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2007-08,2007,434.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2008-09,2008,355.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2009-10,2009,328.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2010-11,2010,339.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2011-12,2011,450.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2012-13,2012,556.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2013-14,2013,635.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2014-15,2014,662.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2015-16,2015,649.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2016-17,2016,634.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2017-18,2017,623.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2018-19,2018,596.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2019-20,2019,555.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2020-21,2020,566.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2021-22,2021,594.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2022-23,2022,626.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2023-24,2023,643.0,False
090192000360,Dwight-Bellizzi Dual Language Academy,2024-25,2024,651.0,False
090192000366,Environmental Sciences Magnet At Hooker School,1986-87,1986,859.0,False
090192000366,Environmental Sciences Magnet At Hooker School,1987-88,1987,936.0,False
090192000366,Environmental Sciences Magnet At Hooker School,1988-89,1988,1002.0,False
090192000366,Environmental Sciences Magnet At Hooker School,1989-90,1989,1030.0,False
090192000366,Environmental Sciences Magnet At Hooker School,1990-91,1990,1023.0,False
090192000366,Environmental Sciences Magnet At Hooker School,1991-92,1991,712.0,False
090192000366,Environmental Sciences Magnet At Hooker School,1992-93,1992,719.0,False
090192000366,Environmental Sciences Magnet At Hooker School,1993-94,1993,696.0,False
090192000366,Environmental Sciences Magnet At Hooker School,1994-95,1994,779.0,False
090192000366,Environmental Sciences Magnet At Hooker School,1995-96,1995,646.0,False
090192000366,Environmental Sciences Magnet At Hooker School,1996-97,1996,433.0,False
090192000366,Environmental Sciences Magnet At Hooker School,1997-98,1997,344.0,False
090192000366,Environmental Sciences Magnet At Hooker School,1998-99,1998,279.0,False
090192000366,Environmental Sciences Magnet At Hooker School,1999-00,1999,251.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2000-01,2000,248.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2001-02,2001,213.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2002-03,2002,255.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2003-04,2003,301.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2004-05,2004,318.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2005-06,2005,345.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2006-07,2006,402.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2007-08,2007,403.0,False
090192000366,Environmental Sciences Magnet At Hooker School,2008-09,2008,407.0,False
