year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment,magnet
"2021","090192000364","M. D. Fox School","CT","Hartford School District","Primary","Regular school","No","504","No"
"2021","090192000369","M. L. King Jr. Middle School","CT","Hartford School District","Middle","Regular school","No","215","No"
"2021","090192000371","McDonough Middle School","CT","Hartford School District","Middle","Regular school","No","316","No"
"2021","090192000381","Milner Middle School","CT","Hartford School District","Middle","Regular school","No","312","No"
"2021","090192001641","Montessori Magnet at Batchelder School","CT","Hartford School District","Primary","Regular school","No","362","Yes"
"2021","090192001531","Montessori Magnet at Fisher School","CT","Hartford School District","Primary","Regular school","No","333","Yes"
"2021","090192000372","Naylor/CCSU Leadership Academy","CT","Hartford School District","Primary","Regular school","No","389","No"
"2021","090192000373","Parkville Community School","CT","Hartford School District","Primary","Regular school","No","416","No"
"2021","090192001479","Pathways Academy of Technology and Design","CT","Hartford School District","High","Regular school","No","410","Yes"
"2021","090192000376","Rawson School","CT","Hartford School District","Primary","Regular school","No","224","No"
"2021","090192001582","Renzulli Gifted and Talented Academy","CT","Hartford School District","Middle","Regular school","No","116","No"
"2021","090192000026","Sanchez School","CT","Hartford School District","Primary","Regular school","No","324","No"
"2021","090192000377","SAND School","CT","Hartford School District","Primary","Regular school","No","291","No"
"2021","090192001370","Sport and Medical Sciences Academy","CT","Hartford School District","High","Regular school","No","579","Yes"
"2021","090192000362","STEM Magnet at Annie Fisher School","CT","Hartford School District","Primary","Regular school","No","352","Yes"
"2021","090192001381","University High School of Science and Engineering","CT","Hartford School District","High","Regular school","No","413","Yes"
"2021","090192001939","Weaver High School","CT","Hartford School District","High","Regular school","No","625","No"
"2021","090192000383","Webster Micro Society Magnet School","CT","Hartford School District","Primary","Regular school","No","629","Yes"
"2021","090192000384","West Middle School","CT","Hartford School District","Primary","Regular school","No","295","No"
"2021","090192000385","Wish Museum School","CT","Hartford School District","Primary","Regular school","No","289","No"
"2020","090192001192","Betances Learning Lab Magnet School","CT","Hartford School District","Primary","Regular school","No","438","Yes"
"2020","090192001616","Betances STEM Magnet School","CT","Hartford School District","Middle","Regular school","No","229","Yes"
"2020","090192001534","Breakthrough Magnet School North","CT","Hartford School District","Primary","Regular school","No","344","Yes"
"2020","090192001369","Breakthrough Magnet School South","CT","Hartford School District","Primary","Regular school","No","341","Yes"
"2020","090192001572","Bulkeley High School","CT","Hartford School District","High","Regular school","No","592","No"
"2020","090192000357","Burns Latino Studies Academy","CT","Hartford School District","Primary","Regular school","No","241","No"
"2020","090192000358","Burr Middle School","CT","Hartford School District","Middle","Regular school","No","324","No"
"2020","090192001435","Capital Preparatory Magnet School","CT","Hartford School District","Other","Regular school","No","660","Yes"
"2020","090192001478","Classical Magnet School","CT","Hartford School District","High","Regular school","No","451","Yes"
"2020","090192000360","Dwight-Bellizzi Dual Language Academy","CT","Hartford School District","Primary","Regular school","No","566","No"
"2020","090192000366","Environmental Sciences Magnet at Hooker School","CT","Hartford School District","Primary","Regular school","No","573","Yes"
"2020","090192000636","Expeditionary Learning Academy at Moylan School","CT","Hartford School District","Primary","Regular school","No","416","No"
"2020","090192001535","Global Communications Academy","CT","Hartford School District","Primary","Regular school","No","438","No"
"2020","090192001403","Great Path Academy at MCC","CT","Hartford School District","High","Regular school","No","308","Yes"
"2020","090192001295","Hartford Magnet Trinity College Academy","CT","Hartford School District","High","Regular school","No","1026","Yes"
"2020","090192001643","Hartford PreKindergarten Magnet School","CT","Hartford School District","Prekindergarten","Regular school","No","180","Yes"
